Question,Option 1,Option 2,Option 3,Option 4,Correct Answer
What is the capital of France?,Paris,Berlin,Rome,Madrid,1
Which planet is known as the Red Planet?,Earth,Mars,Venus,Jupiter,2
Who wrote "Romeo and Juliet"?,Mark Twain,Charles Dickens,William Shakespeare,Jane Austen,3
What is the boiling point of water in Celsius?,90,100,110,120,2
What is the largest ocean on Earth?,Atlantic,Indian,Pacific,Arctic,3
Which animal is known as the King of the Jungle?,Tiger,Lion,Elephant,Leopard,2
How many continents are there on Earth?,5,6,7,8,3
Who painted the Mona Lisa?,Van Gogh,Da Vinci,Michelangelo,Picasso,2
What is the chemical symbol for Gold?,Ag,Au,Gd,Go,2
What is the main gas found in the air we breathe?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,3
